epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.5409,0.1582,1,1,0.01165,6e-05,6e-05,0.09406
2,18.2138,0.00797,1,1,0.00135,0.000129873,0.000129873,0.0871299
3,26.6451,0.00115,1,1,0.00029,0.000199219,0.000199219,0.0801992
4,34.969,0.00033,1,1,0.0001,0.000267633,0.000267633,0.0732676
5,43.1552,0.00013,1,1,5e-05,0.000334713,0.000334713,0.0663347
6,51.3023,7e-05,1,1,3e-05,0.000400067,0.000400067,0.0594001
7,60.0627,4e-05,1,1,2e-05,0.000463315,0.000463315,0.0524633
8,68.5552,3e-05,1,1,2e-05,0.000524089,0.000524089,0.0455241
9,76.8621,3e-05,1,1,2e-05,0.000582039,0.000582039,0.038582
10,84.9985,2e-05,1,1,2e-05,0.00063683,0.00063683,0.0316368
11,93.1113,3e-05,1,1,2e-05,0.000688152,0.000688152,0.0246882
12,101.279,2e-05,1,1,2e-05,0.000735715,0.000735715,0.0177357
13,109.413,2e-05,1,1,2e-05,0.000779256,0.000779256,0.0107793
14,117.513,2e-05,1,1,2e-05,0.000818535,0.000818535,0.00381854
15,125.534,2e-05,1,1,2e-05,0.000820525,0.000820525,0.000820525
16,133.573,2e-05,1,1,2e-05,0.000795954,0.000795954,0.000795954
