epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.4295,0.20972,1,1,0.01161,3e-05,3e-05,0.09403
2,24.6781,0.00876,1,1,0.0014,6.49559e-05,6.49559e-05,0.087065
3,36.9769,0.00119,1,1,0.00035,9.97288e-05,9.97288e-05,0.0800997
4,49.3791,0.00035,1,1,0.00014,0.000134177,0.000134177,0.0731342
5,62.222,0.00016,1,1,7e-05,0.000168161,0.000168161,0.0661682
6,74.632,9e-05,1,1,5e-05,0.000201542,0.000201542,0.0592015
7,86.4563,6e-05,1,1,3e-05,0.000234186,0.000234186,0.0522342
8,98.344,5e-05,1,1,3e-05,0.000265959,0.000265959,0.045266
9,110.284,4e-05,1,1,3e-05,0.000296734,0.000296734,0.0382967
10,123.343,4e-05,1,1,3e-05,0.000326387,0.000326387,0.0313264
11,136.613,4e-05,1,1,3e-05,0.000354799,0.000354799,0.0243548
12,149.818,4e-05,1,1,3e-05,0.000381859,0.000381859,0.0173819
13,161.973,3e-05,1,1,2e-05,0.000407459,0.000407459,0.0104075
14,174.517,3e-05,1,1,2e-05,0.000431498,0.000431498,0.0034315
15,186.58,3e-05,1,1,2e-05,0.000436428,0.000436428,0.000436428
16,198.63,3e-05,1,1,2e-05,0.000427509,0.000427509,0.000427509
