epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9818,1.69033,2.89927,1.5981,0.00343,1,0.06032,0.02252,2.35462,3.52136,2.08303,6e-05,6e-05,0.09406
2,16.5053,1.50261,2.3442,1.40385,0.01053,0.72367,0.0206,0.00532,3.10916,6.01417,2.64683,0.000129873,0.000129873,0.0871299
3,22.9199,1.46391,2.13386,1.37083,0.02984,0.65632,0.06619,0.01524,2.5435,5.11537,2.43312,0.000199219,0.000199219,0.0801992
4,29.2083,1.43664,1.93431,1.33803,0.03993,0.82816,0.18559,0.04834,2.50046,3.74722,2.56748,0.000267633,0.000267633,0.0732676
5,34.8555,1.39454,1.81532,1.31865,0.56651,0.37931,0.15638,0.04099,2.20305,3.30077,2.36297,0.000334713,0.000334713,0.0663347
6,40.3368,1.40951,1.77207,1.33575,0.40155,0.42931,0.35464,0.11148,2.05822,3.17939,2.34959,0.000400067,0.000400067,0.0594001
7,45.6096,1.39061,1.74668,1.33962,0.12054,0.34483,0.17602,0.06519,1.93709,7.42762,1.92491,0.000463315,0.000463315,0.0524633
8,50.7931,1.36252,1.69001,1.33216,0.75117,0.32759,0.44424,0.2201,1.54409,4.28386,1.566,0.000524089,0.000524089,0.0455241
9,56.0255,1.36061,1.6909,1.33107,0.80676,0.36207,0.54144,0.26716,1.48041,3.16186,1.38796,0.000582039,0.000582039,0.038582
10,61.2334,1.36978,1.62042,1.30446,0.32163,0.66492,0.61859,0.30206,1.48465,2.68848,1.38469,0.00063683,0.00063683,0.0316368
11,66.5234,1.35308,1.55645,1.27792,0.44568,0.61667,0.58749,0.28429,1.44195,3.93516,1.39389,0.000688152,0.000688152,0.0246882
12,71.7945,1.36757,1.56945,1.3097,0.49349,0.75109,0.74742,0.41074,1.40499,2.77748,1.35719,0.000735715,0.000735715,0.0177357
13,77.0952,1.38865,1.5608,1.31734,0.55746,0.78228,0.78293,0.42742,1.50791,3.36278,1.54515,0.000779256,0.000779256,0.0107793
14,82.297,1.33347,1.50733,1.30706,0.68007,0.37846,0.37285,0.16011,1.66648,7.96905,1.68649,0.000818535,0.000818535,0.00381854
15,87.4736,1.32326,1.52285,1.28852,0.65333,0.39655,0.32894,0.14063,1.74874,9.40914,1.72634,0.000820525,0.000820525,0.000820525
16,92.6571,1.34142,1.47923,1.29892,0.75233,0.46552,0.49171,0.20539,1.57394,4.14041,1.4799,0.000795954,0.000795954,0.000795954
17,97.9597,1.28204,1.45469,1.26657,0.70097,0.46552,0.48317,0.22424,1.50675,4.10337,1.50306,0.000770234,0.000770234,0.000770234
18,103.128,1.28228,1.38353,1.26973,0.46933,0.71667,0.61896,0.34364,1.39567,2.97703,1.30121,0.000743468,0.000743468,0.000743468
19,108.292,1.24033,1.3725,1.25706,0.60712,0.74824,0.7391,0.4282,1.36679,2.56112,1.28122,0.000715761,0.000715761,0.000715761
20,113.398,1.25041,1.32577,1.24379,0.74711,0.86028,0.86763,0.48334,1.44666,1.3566,1.27985,0.000687222,0.000687222,0.000687222
21,118.477,1.28178,1.30074,1.25162,0.79751,0.78299,0.87996,0.4942,1.48639,1.25212,1.24164,0.000657963,0.000657963,0.000657963
22,123.712,1.22947,1.2478,1.23965,0.73395,0.76302,0.81348,0.46949,1.47161,1.4349,1.23684,0.000628101,0.000628101,0.000628101
23,128.809,1.25793,1.25755,1.24288,0.77767,0.76552,0.83025,0.50131,1.45085,1.31985,1.22192,0.000597754,0.000597754,0.000597754
24,133.897,1.22079,1.25285,1.24736,0.81931,0.83046,0.85102,0.45628,1.60801,1.30291,1.3357,0.00056704,0.00056704,0.00056704
25,139.054,1.24981,1.25009,1.25026,0.75744,0.82989,0.86607,0.48305,1.52998,1.23486,1.28603,0.000536081,0.000536081,0.000536081
26,144.143,1.21881,1.20125,1.24078,0.77033,0.84116,0.88302,0.48982,1.50695,1.17952,1.29267,0.000505,0.000505,0.000505
27,149.236,1.24362,1.2304,1.26286,0.73154,0.93218,0.90337,0.49904,1.52868,1.08669,1.28744,0.000473919,0.000473919,0.000473919
28,154.329,1.17192,1.18529,1.21928,0.78089,0.7477,0.83096,0.42095,1.77204,1.26916,1.50422,0.00044296,0.00044296,0.00044296
29,159.523,1.20226,1.14812,1.21989,0.71288,0.83997,0.81572,0.39364,1.76979,1.29365,1.51739,0.000412246,0.000412246,0.000412246
30,164.697,1.20983,1.16137,1.21381,0.80542,0.86081,0.88858,0.51947,1.41685,1.15007,1.20588,0.000381899,0.000381899,0.000381899
31,169.881,1.19637,1.14452,1.22585,0.78838,0.88691,0.89402,0.533,1.39261,1.13922,1.19848,0.000352037,0.000352037,0.000352037
32,175.126,1.16768,1.11906,1.21693,0.79611,0.87643,0.85876,0.48951,1.50545,1.18326,1.29737,0.000322778,0.000322778,0.000322778
33,180.21,1.10965,1.14985,1.18959,0.7696,0.87834,0.86538,0.44771,1.61615,1.20575,1.40662,0.000294239,0.000294239,0.000294239
34,185.309,1.09155,1.08539,1.16488,0.78155,0.9029,0.88745,0.5,1.4732,1.10294,1.29233,0.000266532,0.000266532,0.000266532
35,190.559,1.0759,1.04597,1.17417,0.80844,0.92147,0.90919,0.54539,1.38146,1.02263,1.2293,0.000239766,0.000239766,0.000239766
36,195.7,1.11337,1.07351,1.1929,0.84118,0.86544,0.92936,0.58806,1.29256,0.94426,1.15952,0.000214046,0.000214046,0.000214046
37,200.972,1.14319,1.06455,1.19707,0.87233,0.82804,0.93315,0.58249,1.28877,0.92485,1.14116,0.000189475,0.000189475,0.000189475
38,206.105,1.09872,1.03702,1.16716,0.83096,0.83362,0.90578,0.56974,1.32399,0.94811,1.1573,0.000166149,0.000166149,0.000166149
39,211.226,1.12039,1.02764,1.17798,0.83351,0.83773,0.89676,0.55219,1.34274,0.977,1.16901,0.000144161,0.000144161,0.000144161
40,216.304,1.06258,1.00197,1.1588,0.80621,0.84206,0.89619,0.54004,1.34038,0.98205,1.16361,0.000123596,0.000123596,0.000123596
41,221.657,0.97118,0.97112,1.10051,0.8192,0.85281,0.91638,0.53567,1.35858,1.0074,1.17284,0.000104537,0.000104537,0.000104537
42,226.759,0.91031,0.92503,1.04794,0.74623,0.87645,0.88347,0.51806,1.44529,1.0709,1.2142,8.70577e-05,8.70577e-05,8.70577e-05
43,231.792,0.86527,0.83421,1.0202,0.79706,0.83521,0.88301,0.5053,1.47436,1.12901,1.22733,7.12282e-05,7.12282e-05,7.12282e-05
44,237.016,0.82514,0.81065,1.02514,0.79911,0.83459,0.88312,0.52129,1.4223,1.12572,1.19055,5.71106e-05,5.71106e-05,5.71106e-05
45,242.148,0.86675,0.79203,1.01948,0.79003,0.88569,0.9068,0.54693,1.38181,1.09161,1.16223,4.47606e-05,4.47606e-05,4.47606e-05
46,247.762,0.88468,0.79169,1.03668,0.8017,0.91316,0.91551,0.54726,1.36887,1.07915,1.157,3.4227e-05,3.4227e-05,3.4227e-05
47,252.789,0.8648,0.76546,1.03369,0.81205,0.8906,0.91605,0.5486,1.36451,1.05882,1.15675,2.55513e-05,2.55513e-05,2.55513e-05
48,257.813,0.82208,0.76718,1.00762,0.8549,0.89507,0.91925,0.54366,1.36739,1.0515,1.15977,1.87678e-05,1.87678e-05,1.87678e-05
49,262.903,0.94354,0.77357,1.11163,0.85374,0.8977,0.92265,0.54633,1.36627,1.05302,1.15857,1.39032e-05,1.39032e-05,1.39032e-05
50,267.931,0.86015,0.7179,1.01608,0.84964,0.88846,0.92195,0.55044,1.36477,1.05625,1.15904,1.09768e-05,1.09768e-05,1.09768e-05
