epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3953,1.81861,2.42776,1.81511,0.28,0.48103,0.19609,0.0805,1.77156,7.22531,1.89378,3e-05,3e-05,0.09403
2,37.3984,1.56681,1.96881,1.59373,0.16068,0.23686,0.12971,0.03913,2.28155,11.5814,2.14867,6.49559e-05,6.49559e-05,0.087065
3,52.4689,1.5354,1.74268,1.54208,0.43581,0.60747,0.44917,0.16122,1.88918,4.8621,1.83119,9.97288e-05,9.97288e-05,0.0800997
4,68.557,1.38003,1.56645,1.42258,0.42227,0.45402,0.37925,0.1035,2.30684,3.86953,2.24375,0.000134177,0.000134177,0.0731342
5,83.3228,1.40251,1.45238,1.41127,0.28759,0.64598,0.29471,0.12129,2.19752,5.62162,2.08214,0.000168161,0.000168161,0.0661682
6,98.5007,1.39272,1.41458,1.42244,0.4046,0.7454,0.49437,0.23009,1.83789,3.13114,1.72278,0.000201542,0.000201542,0.0592015
7,122.429,1.35636,1.32013,1.40957,0.64841,0.61667,0.58214,0.32306,1.48568,3.55258,1.62308,0.000234186,0.000234186,0.0522342
8,269.015,1.36033,1.29428,1.43419,0.64122,0.85,0.80825,0.43038,1.52739,2.9211,1.67421,0.000265959,0.000265959,0.045266
9,282.39,1.26359,1.28314,1.37317,0.79208,0.78172,0.87616,0.47144,1.44559,1.48205,1.69737,0.000296734,0.000296734,0.0382967
10,296.051,1.27896,1.20107,1.37362,0.88324,0.9325,0.94205,0.54092,1.49648,1.09671,1.78175,0.000326387,0.000326387,0.0313264
11,308.828,1.26594,1.12329,1.33383,0.91904,0.81538,0.91834,0.48666,1.56353,1.42849,1.89862,0.000354799,0.000354799,0.0243548
12,321.694,1.28314,1.15294,1.36089,0.66983,0.68924,0.71392,0.34035,1.67011,2.07584,2.00191,0.000381859,0.000381859,0.0173819
13,334.1,1.27605,1.14544,1.37446,0.93023,0.93333,0.95677,0.55277,1.53556,1.23512,1.93914,0.000407459,0.000407459,0.0104075
14,346.76,1.2589,1.08842,1.3588,0.87769,0.92397,0.9587,0.5281,1.5653,1.13489,1.96071,0.000431498,0.000431498,0.0034315
15,359.229,1.20877,1.06439,1.32074,0.98145,0.86027,0.95132,0.54533,1.43505,0.86052,1.79055,0.000436428,0.000436428,0.000436428
16,372.261,1.29404,1.08519,1.37691,0.94218,0.93014,0.95765,0.51385,1.51053,1.20529,1.91937,0.000427509,0.000427509,0.000427509
17,384.983,1.21938,1.06039,1.35009,0.90163,0.92403,0.93373,0.47627,1.55697,1.25943,1.9527,0.00041811,0.00041811,0.00041811
18,397.627,1.20035,1.00988,1.33193,0.87167,0.84655,0.86949,0.47675,1.49047,1.05424,1.87226,0.000408257,0.000408257,0.000408257
19,410.023,1.16461,0.99088,1.30881,0.88783,0.82931,0.85735,0.46665,1.59036,1.09817,2.01344,0.000397977,0.000397977,0.000397977
20,422.644,1.17792,0.96929,1.30959,0.93718,0.82131,0.8997,0.51261,1.56602,0.94484,2.01381,0.000387298,0.000387298,0.000387298
21,435.264,1.11755,0.91916,1.27044,0.92702,0.86537,0.93336,0.50548,1.57013,0.93333,2.05407,0.00037625,0.00037625,0.00037625
22,447.916,1.11428,0.91066,1.29797,0.88053,0.81494,0.91249,0.47312,1.72498,0.99876,2.27918,0.000364863,0.000364863,0.000364863
23,460.549,1.14474,0.93382,1.28846,0.89851,0.84631,0.9229,0.51116,1.61531,1.09554,2.12129,0.000353167,0.000353167,0.000353167
24,472.947,1.16302,0.93433,1.32574,0.85579,0.91494,0.9195,0.49175,1.58331,1.02029,2.14716,0.000341196,0.000341196,0.000341196
25,485.408,1.14956,0.95373,1.29897,0.83295,0.90003,0.89644,0.51539,1.53656,1.00801,2.08641,0.000328982,0.000328982,0.000328982
26,497.734,1.12385,0.87554,1.30173,0.90981,0.86437,0.9019,0.4487,1.74959,1.03078,2.23821,0.000316558,0.000316558,0.000316558
27,510.27,1.14811,0.89376,1.30999,0.81773,0.94301,0.91876,0.48661,1.60561,0.8966,2.10026,0.000303958,0.000303958,0.000303958
28,522.751,1.06763,0.87972,1.27091,0.902,0.82141,0.88231,0.4838,1.47123,0.95351,1.99291,0.000291218,0.000291218,0.000291218
